Index,C instance,Loop Invariant,Ranking Function,Inference Time
36,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/36.c,,,
37,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/37.c,,,
38,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/38.c,,,
39,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/39.c,,,
40,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/40.c,,,
41,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/41.c,( ( n >= ( 0 + 1 ) || c > ( c + c ) ) && ( n > c ) ),,
42,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/42.c,( ( c <= 0 || n > ( 0 - 0 ) ) && ( c < ( n + 0 ) || n == ( 1 + n ) ) ),,
43,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/43.c,( ( n >= ( 0 + 1 ) ) ),,
44,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/44.c,( ( n >= ( 0 + 1 ) ) ),,
45,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/45.c,( ( c >= ( 0 - c ) ) && ( c >= c ) ),,
46,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/46.c,( ( n > ( 1 + 1 ) || n > ( 0 - n ) ) && ( c <= ( n - 0 ) ) ),,
47,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/47.c,( ( c >= ( 0 - c ) ) && ( c >= c ) ),,
48,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/48.c,( ( n >= ( 0 + 1 ) ) ),,
49,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/49.c,( ( n >= ( 0 + 1 ) ) ),,
50,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/50.c,( ( c >= ( 0 - c ) ) && ( c >= c ) ),,
51,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/51.c,( ( c == 0 || c < ( c + 4 ) ) && ( c <= 4 || c <= ( c - 1 ) ) && ( c <= ( 0 + 4 ) ) ),,
52,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/52.c,( ( c < ( 1 + c ) ) && ( c <= ( c + c ) ) ),,
53,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/53.c,( ( c >= ( 0 - c ) ) && ( c >= c ) ),,
54,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/54.c,( ( c <= 0 || n > ( 0 - 0 ) ) && ( c < ( n + 0 ) || n == ( 1 + n ) ) ),,
55,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/55.c, ( ( c >= ( 0 - c ) ) && ( c >= c ) ),,
56,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/56.c,( ( c <= ( n + -1 ) ) && ( c >= ( 0 - 1 ) ) ),,
57,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/57.c,( ( n > ( c + 0 ) || n == ( -1 - 0 ) ) ),,
58,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/58.c,( ( c >= ( 0 - c ) ) && ( c >= c ) ),,
59,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/59.c,( ( n < ( n + c ) || c < ( n + c ) ) && ( c <= n || c <= ( n + 0 ) ) ),,
60,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/60.c,( ( n >= 0 ) ),,
61,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/61.c,undefined,,
62,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/62.c,,,
63,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/63.c,( ( x <= 10 || x == ( x - y ) ) ),,
64,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/64.c,( ( y <= 1 || x <= ( 10 - 1 ) ) ),,
65,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/65.c,( ( y >= ( 1 - 1 ) || x < 100 ) ),,
66,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/66.c,( ( x <= 100 || y <= ( 1 - 1 ) ) ),,
67,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/67.c,,,
68,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/68.c,,,
69,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/69.c,,,
70,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/70.c,,,
71,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/71.c,( ( y <= ( z + y ) ) ),,
72,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/72.c,undefined,,
73,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/73.c,( ( c >= y || z < ( z + 4608 ) ) ),,
74,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/74.c,( ( z >= ( 127 - 0 ) || z == ( 1 + 127 ) ) ),,
75,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/75.c,undefined,,
76,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/76.c,( ( y <= ( z - c ) ) ),,
77,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/77.c,( ( y < ( 1 + y ) ) && ( i <= ( i + x ) ) && ( x < ( 0 - 1 ) || x > ( y - 1 ) ) ),,
78,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/78.c,( ( i > 0 || i >= ( 0 - 0 ) ) && ( y < ( x + 1 ) ) ),,
79,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/79.c,( ( x > ( 0 - 1 ) ) ),,
80,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/80.c,( ( x > ( y + 0 ) || x >= y ) ),,
81,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/81.c,( ( y > ( y - i ) || i > ( 0 - 1 ) ) ),,
82,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/82.c,( ( x > ( 0 - 1 ) ) ),,
83,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/83.c,( ( x < ( -5000 - -5000 ) || y > x ) ),,
84,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/84.c,( ( y < ( 1 - y ) || x >= ( x - y ) ) && ( y > ( 1 - 1 ) || x <= -50 ) ),,
85,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/85.c,( ( y < ( 1 - y ) || x >= ( x - y ) ) && ( y > ( 1 - 1 ) || x <= -15000 ) ),,
86,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/86.c,( ( y < ( 1 - y ) || x >= ( x - y ) ) && ( y > ( 1 - 1 ) || x <= -50 ) ),,
87,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/87.c,( ( lock <= ( lock - 1 ) || lock == ( 1 + 0 ) ) && ( lock <= ( lock + 0 ) ) && ( x == ( y + 0 ) ) ),,
88,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/88.c,( ( lock <= 1 ) && ( x < ( y - 0 ) || lock == 1 ) ),,
89,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/89.c,( ( lock <= ( lock - 1 ) || lock == ( 1 + 0 ) ) && ( lock <= ( lock + 0 ) ) && ( x == ( y + 0 ) ) ),,
90,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/90.c,( ( y <= ( x + y ) || x >= ( 0 + 0 ) ) && ( y == ( 0 - 0 ) ) && ( x < ( 0 + y ) || x == ( 0 + y ) ) ),,
91,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/91.c,,,
92,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/92.c,,,
93,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/93.c,,,
94,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/94.c,,,
95,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/95.c,,,
96,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/96.c,,,
97,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/97.c,,,
98,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/98.c,,,
99,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/99.c,,,
100,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/100.c,,,
101,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/101.c,( ( x <= ( 0 - n ) || x <= n ) ),,
102,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/102.c,( ( x < ( 1 - 0 ) || n >= x ) && ( n > ( 1 + 0 ) || n <= ( n - 0 ) ) && ( x >= ( x - 1 ) ) ),,
103,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/103.c,( ( x == 0 || x < ( x + 100 ) ) && ( x <= 100 || x <= ( x - 1 ) ) && ( x <= ( 0 + 100 ) ) ),,
104,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/104.c,( ( x <= 0 || x < ( 1 + n ) ) ),,
105,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/105.c, ( ( x <= 0 || x < ( 1 + n ) ) ),,
106,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/106.c,,,
107,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/107.c,,,
108,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/108.c,,,
109,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/109.c,,,
110,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/110.c,,,
111,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/111.c,,,
112,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/112.c,,,
113,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/113.c,,,
114,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/114.c,,,
115,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/115.c,,,
116,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/116.c,( ( sn == x ) ),,
117,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/117.c,( ( sn == x ) ),,
118,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/118.c,undefined,,
119,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/119.c,,,
120,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/120.c,,,
121,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/121.c,,,
122,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/122.c,,,
123,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/123.c,,,
124,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/124.c,,,
125,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/125.c,,,
126,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/126.c,,,
127,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/127.c,,,
128,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/128.c,,,
129,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/129.c,,,
130,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/130.c,,,
131,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/131.c,,,
132,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/132.c,,,
133,https://github.com/PL-ML/code2inv/blob/master/benchmarks/C_instances/c/133.c,,,
